Application;Catégorie;Sam. 21/03;Dim. 22/03;Lun. 23/03;Mar. 24/03;Moyenne /jour
Instagram;Réseaux sociaux;145;299;197;143;196
WhatsApp;Réseaux sociaux;7;56;60;2;31
Safari;Informations;32;13;30;20;24
Clash Royale;Jeux;19;30;29;8;21
Snapchat;Réseaux sociaux;17;25;-;2;11
WeChat;Réseaux sociaux;15;-;-;-;4
Hinge;Réseaux sociaux;5;5;-;-;2,5
ChatGPT;Productivité;-;3;13;23;10
YouTube;Divertissement;-;-;37;-;9
Netflix;Divertissement;-;-;26;2;7
Spotify;Divertissement;6;17;16;5;11
Grok (AI);Productivité;-;-;11;11;5
;;;;;;
total;;246;448;46,5555555555556;24;27,625
